Title	accuracy
all_bucket1	0.45716342692584594
all_bucket2	0.25622837370242213
all_bucket3	0.20813734713076198
all_bucket4	0.2890380313199105
all_bucket5	0.6116838487972509
occupation_bucket1	0.36363636363636365
occupation_bucket2	0.40562248995983935
occupation_bucket3	0.42592592592592593
occupation_bucket4	0.48484848484848486
occupation_bucket5	0.6666666666666666
mother_bucket1	0.0
mother_bucket2	0.3076923076923077
mother_bucket3	0.24719101123595505
mother_bucket4	0.23863636363636365
mother_bucket5	0.3333333333333333
religion_bucket1	0.024390243902439025
religion_bucket2	0.1111111111111111
religion_bucket3	0.16883116883116883
religion_bucket4	0.3142857142857143
religion_bucket5	0.2857142857142857
place of birth_bucket1	0.45294117647058824
place of birth_bucket2	0.37962962962962965
place of birth_bucket3	0.421875
place of birth_bucket4	0.4666666666666667
place of birth_bucket5	0.0
genre_bucket1	0.0970873786407767
genre_bucket2	0.12217194570135746
genre_bucket3	0.14974619289340102
genre_bucket4	0.29411764705882354
genre_bucket5	0.5238095238095238
father_bucket1	0.2692307692307692
father_bucket2	0.30660377358490565
father_bucket3	0.35064935064935066
father_bucket4	0.3548387096774194
father_bucket5	0.2631578947368421
screenwriter_bucket1	0.22448979591836735
screenwriter_bucket2	0.09346733668341708
screenwriter_bucket3	0.07108549471661864
screenwriter_bucket4	0.11596638655462185
screenwriter_bucket5	0.24444444444444444
director_bucket1	0.1827956989247312
director_bucket2	0.14923469387755103
director_bucket3	0.14181818181818182
director_bucket4	0.16113744075829384
director_bucket5	0.6666666666666666
producer_bucket1	0.18518518518518517
producer_bucket2	0.19618528610354224
producer_bucket3	0.1969309462915601
producer_bucket4	0.265
producer_bucket5	0.42857142857142855
author_bucket1	0.19704433497536947
author_bucket2	0.20584926884139482
author_bucket3	0.2872628726287263
author_bucket4	0.3888888888888889
author_bucket5	0.5
composer_bucket1	0.11320754716981132
composer_bucket2	0.2192513368983957
composer_bucket3	0.13898916967509026
composer_bucket4	0.15699658703071673
composer_bucket5	0.3783783783783784
country_bucket1	0.843065693430657
country_bucket2	0.6829268292682927
country_bucket3	0.7536231884057971
country_bucket4	0.8205128205128205
country_bucket5	1.0
capital_bucket1	0.6551724137931034
capital_bucket2	0.5909090909090909
capital_bucket3	0.5957446808510638
capital_bucket4	0.6761363636363636
capital_bucket5	0.8812785388127854
capital of_bucket1	0.2
capital of_bucket2	0.21052631578947367
capital of_bucket3	0.21568627450980393
capital of_bucket4	0.6296296296296297
capital of_bucket5	0.686046511627907
color_bucket1	nan
color_bucket2	1.0
color_bucket3	0.5714285714285714
color_bucket4	0.6666666666666666
color_bucket5	0.42857142857142855
sport_bucket1	0.8808290155440415
sport_bucket2	0.8242677824267782
sport_bucket3	0.6438356164383562
sport_bucket4	0.8461538461538461
sport_bucket5	1.0
